iter	Passed	Remaining
0	3	358
1	7	364
2	10	348
3	13	334
4	17	324
5	20	317
6	23	311
7	28	327
8	32	324
9	36	325
10	41	336
11	45	334
12	49	331
13	55	341
14	59	339
15	64	337
16	68	332
17	71	327
18	75	320
19	78	315
20	82	310
21	85	304
22	89	299
23	92	294
24	96	288
25	99	283
26	103	278
27	107	276
28	111	271
29	116	271
30	123	275
31	129	275
32	135	275
33	145	282
34	149	278
35	154	274
36	158	270
37	162	265
38	167	261
39	170	256
40	175	252
41	179	248
42	183	243
43	188	239
44	192	235
45	196	230
46	201	227
47	205	222
48	209	218
49	214	214
50	218	210
51	223	205
52	227	201
53	231	197
54	237	194
55	243	191
56	254	191
57	265	192
58	271	188
59	277	185
60	284	181
61	290	178
62	296	174
63	300	169
64	303	163
65	308	158
66	311	153
67	315	148
68	320	143
69	323	138
70	327	133
71	333	129
72	336	124
73	341	120
74	346	115
75	351	110
76	355	106
77	361	102
78	366	97
79	370	92
80	374	87
81	378	83
82	381	78
83	384	73
84	387	68
85	390	63
86	394	58
87	397	54
88	400	49
89	403	44
90	406	40
91	409	35
92	413	31
93	416	26
94	419	22
95	422	17
96	426	13
97	429	8
98	433	4
99	436	0
